Id,Level,Word,Type,Turkish,English Meaning,English Example
1,A1-A2,a ,det, bir,"indefinite article: before singular, countable nouns (consonant sound).",It’s a useful habit if you practice it daily.
2,A1-A2,about ,adv, hakkında,in a manner related to 'about'.,"They communicated about, which prevented a serious misunderstanding."
3,A1-A2,about ,prep," hakkında, ile ilgili; yaklaşık","a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, about reaching a final decision."
4,A1-A2,above ,adv, yukarıda,in a manner related to 'above'.,"If you proceed above, the risk will be minimal and easier to manage."
5,A1-A2,above ,prep, üzerinde,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, above reaching a final decision."
6,A1-A2,across ,adv, karşıya,in a manner related to 'across'.,The system now runs across after the latest patch.
7,A1-A2,across ,prep, karşıdan karşıya,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, across reaching a final decision."
8,A1-A2,action ,n," eylem, hareket",the act or process of 'ac'‑ing; or the result of it.,"The action played a crucial role in the outcome, though few noticed it at first."
9,A1-A2,activity ,n, etkinlik,the quality or state of being 'activ'.,"The activity played a crucial role in the outcome, though few noticed it at first."
10,A1-A2,actor ,n," erkek oyuncu, aktör",a person or thing that 'act'‑s.,"The actor played a crucial role in the outcome, though few noticed it at first."
11,A1-A2,actress ,n," oyuncu, aktris",actress: a countable or uncountable noun depending on context.,His explanation clarified what the actress actually involves in practice.
12,A1-A2,add ,v," eklemek, ilave etmek",to add: to perform the action of 'add'.,"If you add consistently, you’ll see measurable progress within a few weeks."
13,A1-A2,address ,n, adres; konuşma,address: a countable or uncountable noun depending on context.,"Due to the address, the team had to revise the timeline, which affected several groups."
14,A1-A2,adult ,n, yetişkin,adult: a countable or uncountable noun depending on context.,"The adult played a crucial role in the outcome, though few noticed it at first."
15,A1-A2,advice ,n," öğüt, tavsiye",advice: an uncountable noun referring to 'advice' as a general concept.,"Advice played a crucial role in the outcome, though few noticed it at first."
16,A1-A2,afraid ,adj, korkmuş,describing someone or something as 'afraid'.,The summary is sufficiently afraid for a board-level discussion.
17,A1-A2,after ,prep, -den sonra,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, after reaching a final decision."
18,A1-A2,afternoon ,n, öğleden sonra,afternoon: a countable or uncountable noun depending on context.,"Without adequate afternoon, the entire plan could have fallen apart."
19,A1-A2,again ,adv," tekrar, yeniden, yine",in a manner related to 'again'.,"She handled the situation again, even though the deadline was tight."
20,A1-A2,age ,n," yaş; çağ, devir",age: a countable or uncountable noun depending on context.,"Due to the age, the team had to revise the timeline, which affected several groups."
21,A1-A2,ago ,adv, önce,in a manner related to 'ago'.,"She handled the situation ago, even though the deadline was tight."
22,A1-A2,agree ,v," aynı fikirde olmak, katılmak",to agree: to perform the action of 'agree'.,"Rather than agree immediately, they compared the alternatives thoroughly."
23,A1-A2,air ,n, hava,air: a countable or uncountable noun depending on context.,"The air played a crucial role in the outcome, though few noticed it at first."
24,A1-A2,airport ,n, hava alanı,airport: a countable or uncountable noun depending on context.,"The airport played a crucial role in the outcome, though few noticed it at first."
25,A1-A2,all ,det," bütün, tüm, hepsi, tamamı",a determiner/article placed before a noun to clarify reference.,This choice is reasonable under the circumstances.
26,A1-A2,all ,pron, bütün,"a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
27,A1-A2,also ,adv," de, da, ayrıca",in a manner related to 'also'.,"If you proceed also, the risk will be minimal and easier to manage."
28,A1-A2,always ,adv, herzaman,in a manner related to 'always'.,"She handled the situation always, even though the deadline was tight."
29,A1-A2,amazing ,adj, şaşırtıcı,describing someone or something as 'amazing'.,The summary is sufficiently amazing for a board-level discussion.
30,A1-A2,and ,conj, ve,"conjunction: links words, phrases, or clauses with addition.","We reviewed the proposal, and we approved it with minor changes."
31,A1-A2,angry ,adj, sinirli,somewhat like 'angr'; having that quality.,"Although the plan looked angry at first, it turned out to be highly effective."
32,A1-A2,animal ,n, hayvan,animal: a countable or uncountable noun depending on context.,"Due to the animal, the team had to revise the timeline, which affected several groups."
33,A1-A2,another ,det, diğeri,a determiner/article placed before a noun to clarify reference.,This choice is reasonable under the circumstances.
34,A1-A2,another ,pron, başka,"a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
35,A1-A2,answer ,n," cevap, yanıt",a person or thing that 'answ'‑s.,"The answer played a crucial role in the outcome, though few noticed it at first."
36,A1-A2,answer ,v," cevaplamak, yanıtlamak",to answer: to perform the action of 'answer'.,"She has been trying to answer the report, but unexpected issues kept coming up."
37,A1-A2,any ,det," biri, herhangi biri",a determiner/article placed before a noun to clarify reference.,Any delay at this stage would be costly.
38,A1-A2,any ,pron, herhangi,"a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
39,A1-A2,anyone ,pron," herhangi biri, hiçbiri","a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
40,A1-A2,anything ,pron," herhangi bir şey, hiçbir şey","a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
41,A1-A2,apartment ,n, apartman dairesi,the result or process of 'apart'‑ing.,His explanation clarified what the apartment actually involves in practice.
42,A1-A2,apple ,n, elma,apple: a countable or uncountable noun depending on context.,"Without adequate apple, the entire plan could have fallen apart."
43,A1-A2,April ,n, nisan,April: a countable or uncountable noun depending on context.,"Due to the April, the team had to revise the timeline, which affected several groups."
44,A1-A2,area ,n," alan, bölge",area: a countable or uncountable noun depending on context.,"The area played a crucial role in the outcome, though few noticed it at first."
45,A1-A2,arm ,n, kol; silah,arm: a countable or uncountable noun depending on context.,His explanation clarified what the arm actually involves in practice.
46,A1-A2,around ,adv," etrafta, çevrede, bu civarda",in a manner related to 'around'.,"If you proceed around, the risk will be minimal and easier to manage."
47,A1-A2,around ,prep," etrafında, civarında","a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, around reaching a final decision."
48,A1-A2,arrive ,v," varmak, ulaşmak",to arrive: to perform the action of 'arrive'.,"If you arrive consistently, you’ll see measurable progress within a few weeks."
49,A1-A2,art ,n, sanat,art: a countable or uncountable noun depending on context.,"Due to the art, the team had to revise the timeline, which affected several groups."
50,A1-A2,article ,n, makale,article: a countable or uncountable noun depending on context.,His explanation clarified what the article actually involves in practice.
51,A1-A2,artist ,n, sanatçı,a person who practices or supports 'art'.,"The artist played a crucial role in the outcome, though few noticed it at first."
52,A1-A2,as ,prep, olarak,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, as reaching a final decision."
53,A1-A2,ask ,v," sormak; istemek, dilemek",to ask: to perform the action of 'ask'.,"If you ask consistently, you’ll see measurable progress within a few weeks."
54,A1-A2,at ,prep," -de, -deki; -e, -a",preposition: specific time or point; precise location.,We will meet at the main entrance at 9 a.m.
55,A1-A2,August ,n, ağustos,August: a countable or uncountable noun depending on context.,"The August played a crucial role in the outcome, though few noticed it at first."
56,A1-A2,aunt ,n," hala, teyze",aunt: a countable or uncountable noun depending on context.,"Due to the aunt, the team had to revise the timeline, which affected several groups."
57,A1-A2,autumn ,n," sonbahar, güz",autumn: a countable or uncountable noun depending on context.,"Without adequate autumn, the entire plan could have fallen apart."
58,A1-A2,away ,adv," uzakta, uzağa, uzak",in a manner related to 'away'.,The system now runs away after the latest patch.
59,A1-A2,,,,the English word 'nan'.,"In practice, 'nan' is used in contexts where clarity matters."
